text,category
Swiggy 250,Food
Uber 300,Travel
Amazon 999,Shopping
Rent 5000,Bills
Netflix 200,Entertainment
McDonald's 350,Food
Ola 400,Travel
Flipkart 1200,Shopping
Electricity bill 1500,Bills
Spotify 150,Entertainment
Starbucks 450,Food
Bus ticket 50,Travel
Myntra 1800,Shopping
Water bill 800,Bills
Hotstar 250,Entertainment
Domino's 550,Food
Metro card recharge 200,Travel
Amazon grocery 600,Shopping
Phone bill 1000,Bills
Sony music 120,Entertainment
KFC 400,Food
Taxi fare 350,Travel
Nykaa 900,Shopping
Gas bill 1350,Bills
Zee5 subscription 270,Entertainment
Pizza hut 450,Food
Cab fare 410,Travel
Big Basket 1100,Shopping
Broadband bill 1400,Bills
Audible 300,Entertainment
Taco Bell 300,Food
Train ticket 400,Travel
Jabong 750,Shopping
Mobile recharge 500,Bills
Youtube Premium 160,Entertainment
Dunkin donuts 350,Food
Flight ticket 3000,Travel
Nykaa cosmetics 850,Shopping
Electricity bill 1600,Bills
Amazon prime 180,Entertainment
Cafe coffee day 400,Food
Rental scooter 290,Travel
AJIO 1250,Shopping
Water bill 850,Bills
Hotstar VIP 280,Entertainment
Burger King 450,Food
Bus ticket 60,Travel
Paytm mall 900,Shopping
Phone bill 1250,Bills
Netflix HD 220,Entertainment
McDonald's 370,Food
Taxi fare 380,Travel
Amazon electronics 2000,Shopping
Gas bill 1400,Bills
Spotify family 350,Entertainment
Cafe Coffee 420,Food
Cab fare 390,Travel
Flipkart fashion 1300,Shopping
Broadband bill 1450,Bills
Audible subscription 310,Entertainment
Domino's pizza 600,Food
Flight ticket 3200,Travel
Myntra dresses 700,Shopping
Mobile recharge 490,Bills
Youtube music 150,Entertainment
Taco Bell 350,Food
Train ticket 420,Travel
Jabong shoes 800,Shopping
Electricity bill 1550,Bills
Amazon prime 190,Entertainment
Starbucks 460,Food
Rental scooter 310,Travel
AJIO accessories 1200,Shopping
Water bill 870,Bills
Hotstar VIP 290,Entertainment
Burger King 480,Food
Bus ticket 65,Travel
Paytm mall 950,Shopping
Phone bill 1200,Bills
Netflix basic 200,Entertainment
KFC 410,Food
Taxi fare 340,Travel
Nykaa beauty 900,Shopping
Gas bill 1380,Bills
Sony music 130,Entertainment
Cafe coffee day 410,Food
Flight ticket 3100,Travel
Amazon grocery 700,Shopping
Mobile recharge 490,Bills
Youtube Premium 170,Entertainment
Dunkin donuts 360,Food
Train ticket 380,Travel
Nykaa 850,Shopping
Electricity bill 1650,Bills
Amazon prime 200,Entertainment
Pizza hut 470,Food
Cab fare 400,Travel
Big Basket 1150,Shopping
Broadband bill 1420,Bills
Audible 320,Entertainment
Taco Bell 330,Food
Bus ticket 70,Travel
Jabong 800,Shopping
Phone bill 1280,Bills
Netflix HD 230,Entertainment
McDonald's 390,Food
Taxi fare 370,Travel
Amazon electronics 1900,Shopping
Gas bill 1450,Bills
Spotify family 340,Entertainment
Cafe Coffee 430,Food
Cab fare 360,Travel
Flipkart fashion 1350,Shopping
Broadband bill 1480,Bills
Audible subscription 300,Entertainment
Domino's pizza 590,Food
Flight ticket 3300,Travel
Myntra dresses 750,Shopping
Mobile recharge 460,Bills
Youtube music 140,Entertainment
Taco Bell 360,Food
Train ticket 430,Travel
Jabong shoes 770,Shopping
Electricity bill 1580,Bills
Amazon prime 185,Entertainment
Starbucks 465,Food
Rental scooter 300,Travel
AJIO accessories 1250,Shopping
Water bill 860,Bills
Hotstar VIP 295,Entertainment
Burger King 475,Food
Bus ticket 75,Travel
Paytm mall 920,Shopping
Phone bill 1250,Bills
Netflix basic 210,Entertainment
KFC 405,Food
Taxi fare 350,Travel
Nykaa beauty 880,Shopping
Gas bill 1370,Bills
Sony music 120,Entertainment
Cafe coffee day 405,Food
...
